*******************************************************************
* Option Basic
*******************************************************************

OptionBasic_MenuStr	基本オプション	Basic Option

OptionBasic_Basic	基本設定	Basic Configuration
OptionBasic_useExitDlg	終了確認のメッセージを表示する	Display quit confirmation dialog
OptionBasic_useLastSize	前回起動時のウインドウサイズを記憶する	Memorize the window size from last session
OptionBasic_isWindowOpen	起動時にウインドウを開く	Show main window when program starts
OptionBasic_useAdminPassword	ウインドウ表示時に管理者パスワードを使用する	Require Administrator password when opening a main window
OptionBasic_password	管理者パスワード	Administrator Password
OptionBasic_serverName	サーバ名	Server Name
OptionBasic_editBrowse	フォルダ・ファイル選択を編集可能にする	Let user edit file or folder location
OptionBasic_lang	言語	Language
OptionLog_Basic	基本設定	Basic
OptionLog_Limit	表示制限	Limit Display


*******************************************************************
* Option Log
*******************************************************************
<<<<<<< HEAD

OptionLog_MenuStr	ログ表示	Show Log
=======
OptionLog_Menu	ログ表示	Show log

OptionLog_normalLogKind	通常ログ ファイル名	Nomal Log File name
OptionLog_normalLogKind1	日ごと ( bjd.yyyy.mm.dd.log )	Daily (bjd.yyyy.mm.dd.log)
OptionLog_normalLogKind2	月ごと ( bjd.yyyy.mm.log )	Monthly (bjd.yyyy.mm.log)
OptionLog_normalLogKind3	一定 ( BlackJumboDog.Log )	Uniformity (BlackJumboDog.Log)
OptionLog_secureLogKind	セキュリティログ ファイル名	Security Log File name
OptionLog_secureLogKind1	日ごと ( secure.yyyy.mm.dd.log )	Dayiy (secure.yyyy.mm.dd.log)
OptionLog_secureLogKind2	月ごと ( secure.yyyy.mm.log )	Monthly (secure.yyyy.mm.log)
OptionLog_secureLogKind3	一定 ( Secure.Log )	Uniformity (BlackJumboDog.Log)
OptionLog_saveDirectory	ログの保存場所	Log Save location
OptionLog_useLogFile	ログファイルを生成する	Create a log file
OptionLog_useLogClear	ログの削除を自動的に行う	Delete logs automatically
OptionLog_saveDays	ログ保存日数(0を指定した場合、削除しない)	Days to keep logs (If set to 0, BJD won't delete them)
OptionLog_linesMax	表示する最大行数	The number of maximum lines to display
OptionLog_linesDelete	最大行数に達した際に削除する行数	The number of lines to clear when I reached a maximum

OptionLog_isDisplay	指定文字列のみを	A string which includes these words
OptionLog_isDisplay1	表示する	Display
OptionLog_isDisplay2	表示しない	Don't display

OptionLog_Character	文字列指定	Select character
OptionLog_limitString	制限する文字列の指定	Limit character
OptionLog_useLimitString	上記のルールをログファイルにも適用する	Apply these rules to log file

###############################################################
# DHCP Server
###############################################################

OptionDhcp_MenuStr	DHCPサーバ	DHCP Server

OptionDhcp_useServer	DHCPサーバを使用する	Use DHCP Server

#PageTitle

OptionDhcp_Basic	基本設定	Basic

#Page1(基本設定)

OptionDhcp_leaseTime	リース時間(秒)	Lease Time(sec)
OptionDhcp_startIp	開始アドレス	Start Address
OptionDhcp_endIp	終了アドレス	End Address
OptionDhcp_maskIp	サブネットマスク	Subnet Mask
OptionDhcp_gwIp	ゲートウエイ	Gateway
OptionDhcp_dnsIp0	DNS（プライマリ)	DNS(Primary)
OptionDhcp_dnsIp1	DNS（セカンダリ)	DNS(Secondary)
OptionDhcp_useWpad	WPAD(Web Proxy Auto-Discovery Protocol)を使用する	use WPAD(Web Proxy Auto-Discovery Protocol)

#Page2(ACL(MAC))

OptionDhcp_useMacAcl	MACアドレスによる制限（有効にすると登録したMACアドレスのみ使用可能になります	Limit by MAC address (If enabled, other people who doesn't add their MAC here will be denied.)
OptionDhcp_macAddress	MACアドレス(99-99-99-99-99-99)	MAC Address(99-99-99-99-99-99)
OptionDhcp_v4Address	IPアドレス	IP Address
OptionDhcp_macName	名前（表示名）	Name(Display)
OptionDhcp_macAcl	IPアドレスに「255.255.255.255」を指定した場合、基本設定で指定した範囲からランダムに割り当てられます	If IP address is set to "255.255.255.255", BJD will pick random IP address from Start and End IP range.

#Message

ServerDhcp_0001	MACアドレスによる制限　利用者に登録されていないMACアドレスからの要求を破棄します	Deny access by MAC address
ServerDhcp_0003	リクエスト ->	request ->
ServerDhcp_0004	<- レスポンス	<- response
ServerDhcp_0005	リースしました	Lease done
ServerDhcp_0006	開放しました	Release done

###############################################################
# DNS Server
###############################################################

OptionDns_MenuStr	DNSサーバ	DNS Server

OptionDns_useServer	DNSサーバを使用する	Use DNS Server

#PageTitle

OptionDns_Basic	基本設定	Basic

OptionDns_rootCache	ルートキャッシュ	Root cache
OptionDns_useRD	再帰要求を使用する	Use Recurrence

OptionDns_soaMail	管理者メールアドレス	Administrator's email address
OptionDns_soaSerial	連続番号	Serial
OptionDns_soaRefresh	更新時間(秒)	Refresh(sec)
